grid_id,area_name,latitude,longitude,population_density,avg_income,avg_bill_per_person,restaurant_star_rating,review_count,avg_review_score,same_cuisine_competitors_1km,other_cuisine_competitors_1km,office_density,nightlife_density,mall_proximity,college_proximity,parking_availability,public_transport_connectivity,restaurant_type,restaurant_style,location_score,lat_idx,lon_idx,grid_cell_id
G0001,Koramangala,12.921605336885488,77.62269479054282,14940,151386.0,4905.0,3.39,192,3.32,5,70,50,75,4.27,0.38,12.92,7,Japanese,Quick Service,2.696234224760666e-06,22,20,22_20
G0002,Koramangala,12.92433272526285,77.61807588361725,21598,177927.0,620.0,3.67,314,3.58,21,24,157,70,5.94,3.63,31.27,5,Fast Food,Fine Dining,2.905904741356516e-07,23,19,23_19
G0003,Koramangala,12.94365619765919,77.61921327063673,21797,89106.0,4426.0,4.17,251,3.81,19,68,121,75,3.46,1.74,49.09,4,Biryani,Quick Service,5.06225878087662e-07,27,19,27_19
G0004,Koramangala,12.941644822225864,77.63608378025872,15589,120502.0,1308.0,4.44,153,4.18,18,37,125,59,3.83,3.9,33.54,7,Biryani,Casual Dining,2.9254659563359345e-07,26,22,26_22
G0005,Koramangala,12.94135053824828,77.62220219157321,21264,112874.0,992.0,4.7,299,4.54,37,57,175,93,4.21,2.42,11.37,4,Biryani,Bar/Pub,3.592276280677506e-07,26,19,26_19
G0006,Koramangala,12.944444250457598,77.6148761920136,17447,132100.0,5665.0,3.34,204,3.4,29,44,9,90,5.81,2.21,24.06,5,North Indian,Food Truck,3.123739730953628e-07,27,18,27_18
G0007,Koramangala,12.937949022862664,77.61327144633515,19378,157459.0,2702.0,3.92,192,4.25,5,52,96,120,4.02,1.69,15.05,7,Fast Food,Food Truck,5.47590426882205e-07,26,18,26_18
G0008,Koramangala,12.921655618717844,77.63480359141444,21353,60343.0,232.0,4.56,304,4.54,21,55,93,102,2.93,0.95,40.91,6,Continental,Food Court,8.269545845251716e-07,22,22,22_22
G0009,Koramangala,12.947613541537724,77.61676070302845,14169,161859.0,3565.0,3.56,258,3.7,32,45,95,68,3.79,2.61,31.03,9,South Indian,Cafe/Bistro,3.454128105604607e-07,28,18,28_18
G0010,Koramangala,12.93969876762558,77.62765689435075,12926,47262.0,3698.0,3.78,166,3.49,16,41,100,99,7.27,3.67,25.52,7,South Indian,Bar/Pub,1.861538965261296e-07,26,21,26_21
G0011,Koramangala,12.921021253435704,77.62000996173428,13992,119702.0,5286.0,3.26,195,3.03,19,21,27,92,7.28,2.93,0.0,10,Japanese,Cafe/Bistro,2.4426797224779886e-07,22,19,22_19
G0012,Koramangala,12.940214725356752,77.61822323063112,12865,145749.0,4875.0,3.63,236,3.44,30,42,46,65,2.22,2.78,51.91,4,Fast Food,Casual Dining,4.042629999977425e-07,26,19,26_19
G0013,Koramangala,12.9282291149847,77.62093261558086,17050,133451.0,5297.0,4.33,236,4.13,11,69,79,97,4.05,1.91,81.27,8,Cafe,Food Truck,5.184577790625936e-07,23,19,23_19
G0014,Koramangala,12.92958701675363,77.61831883257516,21324,140651.0,2796.0,4.12,317,4.09,9,71,58,63,0.8,0.2,25.15,4,Fast Food,Food Court,50.000000895171695,24,19,24_19
G0015,Koramangala,12.934950332097165,77.62673900681611,16560,50735.0,4619.0,3.7,120,4.08,20,67,0,58,5.64,0.2,66.86,7,North Indian,Quick Service,50.00000009070592,25,20,25_20
G0016,Koramangala,12.941966259623875,77.62551852882964,14624,45762.0,4804.0,3.35,303,3.14,18,58,56,54,1.95,2.19,24.78,6,Japanese,Food Court,4.5982984810982935e-07,27,20,27_20
G0017,Koramangala,12.931401312934955,77.63727400454025,17769,77532.0,2958.0,3.94,357,4.21,15,67,52,89,5.83,3.36,50.62,5,BBQ,Food Court,2.5883762655310063e-07,24,23,24_23
G0018,Koramangala,12.935813571612789,77.61147857409067,15882,53810.0,2658.0,4.39,169,4.2,8,45,123,43,6.49,2.48,0.0,9,Cafe,Quick Service,2.966948654964213e-07,25,17,25_17
G0019,Koramangala,12.93835466538282,77.62844000103023,16147,62066.0,1395.0,3.7,150,3.57,10,60,100,92,3.42,2.03,31.15,6,Seafood,Family Style,3.952719024154083e-07,26,21,26_21
G0020,Koramangala,12.948062762403246,77.6360714283055,21742,122818.0,1389.0,4.34,291,4.52,16,32,54,82,3.84,1.31,63.1,7,Mexican,Bar/Pub,6.398294793274154e-07,28,22,28_22
G0021,Koramangala,12.945541055322312,77.62372536766969,16181,172842.0,5979.0,4.19,51,4.35,35,40,137,56,4.84,0.98,50.25,6,Mexican,Family Style,7.574983735717566e-07,27,20,27_20
