Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Latitude,Longitude
Burma Burma,"Asian, Burmese, Bubble Tea, Salad, Tea, Desserts, Ice Cream, Beverages",1500," Indiranagar, Bangalore",4.9,12.97039445,77.6447133
Windmills Craftworks,"Continental, Fast Food, Kebab, Beverages, Italian, Desserts",2500," Windmills Craftworks, Bangalore",4.9,12.98241296,77.72197936
CTR Shri Sagar,South Indian,150," Malleshwaram, Bangalore",4.9,12.99827011,77.56945521
Brahmin's Coffee Bar,South Indian,100," Basavanagudi, Bangalore",4.9,12.95404312,77.56886512
Milano Ice Cream,"Desserts, Ice Cream, Beverages",400," Indiranagar, Bangalore",4.9,12.97912104,77.64403872
BelgYum,Desserts,400," Phoenix Marketcity Bangalore, Whitefield, Bangalore",4.9,12.99763172,77.6968206
Lot Like Crepes,"Desserts, Fast Food, Beverages",500," Koramangala 7th Block, Bangalore",4.9,12.93658526,77.61346791
Truffles,"Cafe, American, Coffee, Steak, Beverages, Fast Food",900," Koramangala 5th Block, Bangalore",4.8,12.93343554,77.61434499
Bologna,"Italian, Desserts",1600," Indiranagar, Bangalore",4.8,12.97182157,77.64110304
Pasta Street,"Italian, European, Pizza, Pasta, Salad, Desserts, Beverages",1500," Koramangala 4th Block, Bangalore",4.8,12.93296695,77.63111752
Chianti,"Italian, Pasta, Pizza",2000," Indiranagar, Bangalore",4.8,12.97021802,77.64030542
Santé Spa Cuisine,"Mediterranean, Italian, European, Desserts, Beverages",1500," Domlur, Bangalore",4.8,12.96396971,77.63859853
Arogya Ahaara,South Indian,100," HSR, Bangalore",4.8,12.91804385,77.63768893
Brik Oven,"Cafe, Italian, Fast Food, Desserts",1000," Church Street, Bangalore",4.8,12.97472511,77.60541189
Corner House Ice Creams,"Desserts, Ice Cream, Beverages",300," Indiranagar, Bangalore",4.8,12.9702177,77.6376145
Natural Ice Cream,"Ice Cream, Beverages, Desserts",300," Indiranagar, Bangalore",4.8,12.9703033,77.64449771
Biergarten,"Continental, European, BBQ, Chinese, Asian",2000," Koramangala 5th Block, Bangalore",4.7,12.93347017,77.61418238
Byg Brewski Brewing Company,"Continental, North Indian, Italian, South Indian, Finger Food, Pizza",1600," Sarjapur Road, Bangalore",4.7,12.91293443,77.68290594
Street Storyss,"Fast Food, North Indian, Italian, Desserts, Beverages",1700," Indiranagar, Bangalore",4.7,12.9703266,77.6357265
Hard Rock Cafe,"American, Continental, Fast Food, Beverages",2800," St. Marks Road, Bangalore",4.7,12.97606334,77.60155186
Arbor Brewing Company,"American, Continental, Fast Food, Beverages",2000," Brigade Road, Bangalore",4.7,12.9704219,77.61105794
AB's - Absolute Barbecues,"North Indian, Mangalorean, BBQ, Street Food, Desserts, Salad, Beverages",1200," BTM, Bangalore",4.7,12.9163576,77.60477956
Mavalli Tiffin Room (MTR),"South Indian, Beverages",250," Basavanagudi, Bangalore",4.7,12.95490768,77.58568022
