index_right,restaurant_count,avg_pricing,avg_rating,categories
0.0,0.0,,,
1.0,0.0,,,
2.0,1.0,300.0,3.5,"Fast Food, Chinese, South Indian"
3.0,4.0,350.0,3.525,"South Indian, North Indian, Ice Cream, Beverages, Juices, Chinese, Andhra, Chinese, North Indian, Seafood, Biryani, Beverages, North Indian, Chinese, Rolls, Fast Food, Biryani"
4.0,1.0,300.0,3.9,"Biryani, Mughlai"
5.0,0.0,,,
6.0,0.0,,,
7.0,0.0,,,
8.0,0.0,,,
9.0,0.0,,,
10.0,0.0,,,
11.0,0.0,,,
12.0,0.0,,,
13.0,0.0,,,
14.0,0.0,,,
15.0,0.0,,,
16.0,0.0,,,
17.0,0.0,,,
18.0,0.0,,,
19.0,0.0,,,
20.0,0.0,,,
21.0,0.0,,,
22.0,16.0,406.25,3.6625,"South Indian, North Indian, Chinese, Desserts, Pizza, Italian, Fast Food, Beverages, South Indian, North Indian, Chinese, Beverages, North Indian, Chinese, Andhra, Kebab, Mangalorean, Mughlai, Finger Food, Ice Cream, Desserts, Beverages, South Indian, North Indian, Chinese, Street Food, South Indian, Biryani, Chinese, North Indian, North Indian, Chinese, Arabian, South Indian, Pizza, Fast Food, Ice Cream, Desserts, Bakery, Fast Food, Desserts, South Indian, North Indian, Chinese, Fast Food, Ice Cream, Beverages, Biryani, South Indian, Chinese"
23.0,6.0,325.0,3.6333333333333333,"South Indian, North Indian, South Indian, Chinese, North Indian, South Indian, Biryani, South Indian, Chinese, South Indian, Chinese, North Indian, Beverages, Juices, South Indian, North Indian, Chinese, Beverages, Juices"
24.0,5.0,490.0,3.5199999999999996,"South Indian, North Indian, Chinese, Street Food, Chinese, North Indian, Biryani, North Indian, Chinese, Goan, North Indian, Mughlai, Kebab"
25.0,9.0,488.8888888888889,3.5555555555555554,"North Indian, Biryani, Chinese, North Indian, Chinese, South Indian, Asian, North Indian, Biryani, Fast Food, Beverages, North Indian, Chinese, Street Food, North Indian, South Indian, Chinese, Street Food, Fast Food, Ice Cream, Desserts, Beverages, Chinese, North Indian, Biryani, Beverages, Chinese, North Indian, Momos, Ice Cream, Beverages, Desserts"
26.0,10.0,310.0,3.56,"Biryani, North Indian, Biryani, Mughlai, Pizza, Fast Food, Beverages, Chinese, Malwani, North Indian, Street Food, Ice Cream, Desserts, Beverages, Biryani, Kerala, Chinese, Andhra, North Indian, Beverages, Street Food, Fast Food, Chinese, Beverages, South Indian, North Indian, Street Food, Beverages, Ice Cream, Chinese"
27.0,4.0,375.0,3.75,"Biryani, Andhra, Bakery, Desserts, Street Food, Fast Food, Chinese, Beverages, Pizza, Sandwich, Fast Food, Pizza, Burger"
28.0,2.0,350.0,3.4,"South Indian, Biryani, North Indian, Chinese, North Indian, South Indian, Street Food, Beverages"
29.0,0.0,,,
30.0,0.0,,,
31.0,16.0,340.625,3.56875,"Mexican, Italian, Beverages, Turkish, European, North Indian, Mithai, North Indian, Fast Food, Street Food, North Indian, Chinese, Mughlai, Chinese, North Indian, Biryani, Chinese, North Indian, Street Food, Beverages, North Indian, Chinese, Biryani, Kerala, North Indian, Chinese, Street Food, South Indian, South Indian, North Indian, Chinese, Biryani, Chinese"
32.0,4.0,362.5,3.625,"Beverages, Ice Cream, Desserts, Fast Food, North Indian, Chinese, Fast Food, Beverages, Biryani, Kebab"
33.0,0.0,,,
34.0,0.0,,,
35.0,0.0,,,
36.0,0.0,,,
37.0,0.0,,,
38.0,0.0,,,
